sample_id,schedule_index,seed,horizon_chunks,endpoint_frame_index,mode,rmse,mae,psnr,psnr_status,condition_latent_rms,condition_latent_cosine,action_hash,noise_hash
schedule0_G0_h1_seed0,0,0,1,16,G0,0.15051072345487335,0.07812739241948681,16.448651134775425,finite,0.3552892655842369,0.8211597239733682,86a000032b01d7889d95ece63388207ded3c475ee64ca7da573afee98749deab,5b9382164a48b8c60462f6b31c811b1d8e50a9f5cfa1ac92439d88c6f4463ee7
schedule0_TF_h2_seed1,0,1,2,32,TF,0.15336012450241504,0.08144071497952392,16.28575095112754,finite,0.40833439842202834,0.7683504396325882,ea81416d3fa435c6242f7217bfb863994c8071f2e21a04e794cab7290e5c5464,be0727cc9b3572914eeadf1bc4827a1a505106106e8637f0bed0360148a8b6a6
schedule0_AR_h2_seed1,0,1,2,32,AR,0.1573978182161131,0.09287244238122838,16.06002583893806,finite,0.4395071899068225,0.7307756180696234,ea81416d3fa435c6242f7217bfb863994c8071f2e21a04e794cab7290e5c5464,be0727cc9b3572914eeadf1bc4827a1a505106106e8637f0bed0360148a8b6a6
schedule0_TF_h3_seed2,0,2,3,48,TF,0.16692214017627863,0.0807112912109839,15.549721113188177,finite,0.384317050134758,0.7976170561422029,6aca8922194a677dc5313e449998303e239cfe954d5d0256152b8eee88ffb725,636774083bba5c9e19d3720632e25549deb09822951da590b71547549b0b949d
schedule0_AR_h3_seed2,0,2,3,48,AR,0.20972571081349797,0.1150476440144909,13.56696649990045,finite,0.4580327117096196,0.7044307713890429,6aca8922194a677dc5313e449998303e239cfe954d5d0256152b8eee88ffb725,636774083bba5c9e19d3720632e25549deb09822951da590b71547549b0b949d
schedule0_TF_h4_seed3,0,3,4,64,TF,0.2743323381108372,0.1583414007252486,11.234459900749725,finite,0.5041041319032186,0.6726099780790444,cfb81720be525f34097a0bee2491d1f8b72aaf5a9ff7c8d83e14e1d96386efde,cd7640fb65f05acdb5b5df10eb151536e5f975d0b0f4a82a8c755c860450d0f4
schedule0_AR_h4_seed3,0,3,4,64,AR,0.21186938420971177,0.14354572692983916,13.478635913392536,finite,0.5390218117414068,0.6174317872746943,cfb81720be525f34097a0bee2491d1f8b72aaf5a9ff7c8d83e14e1d96386efde,cd7640fb65f05acdb5b5df10eb151536e5f975d0b0f4a82a8c755c860450d0f4
schedule0_TF_h5_seed4,0,4,5,80,TF,0.16701637376385176,0.09312421480458255,15.544818997802158,finite,0.4101973295632292,0.7527306623921451,23f2c3208420e08171fb49eed7a9012ba0e4d2b5dde9d425bd017436b4d17eb9,30cb249e8b99ebe494441eef22d873038c9cdd5a20693b6bf356c5eff99cfbfe
schedule0_AR_h5_seed4,0,4,5,80,AR,0.18378669832803007,0.11379249806809118,14.713718482695953,finite,0.490910607968641,0.639093957156216,23f2c3208420e08171fb49eed7a9012ba0e4d2b5dde9d425bd017436b4d17eb9,30cb249e8b99ebe494441eef22d873038c9cdd5a20693b6bf356c5eff99cfbfe
schedule1_G0_h1_seed5,1,5,1,16,G0,0.15091461519673285,0.06957499331832888,16.425373986206733,finite,0.3361961231588703,0.8409430232242271,86a000032b01d7889d95ece63388207ded3c475ee64ca7da573afee98749deab,3dd9af06e8ad48f368182a3d1b84d85a92e024b4241903859addea88bc87b5c2
schedule1_TF_h2_seed6,1,6,2,32,TF,0.1293099778070201,0.06961446366637129,17.767359256554084,finite,0.38188289415961363,0.8038365632090994,ea81416d3fa435c6242f7217bfb863994c8071f2e21a04e794cab7290e5c5464,4690fe278d40b2d7a3711c7410354dd4558e65bd78719bd2e03e7a9e4346288e
schedule1_AR_h2_seed6,1,6,2,32,AR,0.13407939131491428,0.07523578411453258,17.452759405835337,finite,0.41420750471658335,0.7671513382871378,ea81416d3fa435c6242f7217bfb863994c8071f2e21a04e794cab7290e5c5464,4690fe278d40b2d7a3711c7410354dd4558e65bd78719bd2e03e7a9e4346288e
schedule1_TF_h3_seed7,1,7,3,48,TF,0.17552903939895026,0.08367276927018945,15.113020477702959,finite,0.38503416192200923,0.7998200090817011,6aca8922194a677dc5313e449998303e239cfe954d5d0256152b8eee88ffb725,d134c82564b5048cdfbaa762a98944613f0e7277e317d7ec1a2da8f467ee7906
schedule1_AR_h3_seed7,1,7,3,48,AR,0.18885442405373157,0.100011060477262,14.477456740995084,finite,0.4453822368334445,0.7382594647926141,6aca8922194a677dc5313e449998303e239cfe954d5d0256152b8eee88ffb725,d134c82564b5048cdfbaa762a98944613f0e7277e317d7ec1a2da8f467ee7906
schedule1_TF_h4_seed8,1,8,4,64,TF,0.21482560017454919,0.12407176186547986,13.358279324248096,finite,0.47658590737287376,0.7161408826322992,cfb81720be525f34097a0bee2491d1f8b72aaf5a9ff7c8d83e14e1d96386efde,341ba95315248a5c8ec2ca2dc274538f09faaba13c6b1244a1baa2eb82c795dd
schedule1_AR_h4_seed8,1,8,4,64,AR,0.1935705754667334,0.10850324654599793,14.26321317646552,finite,0.4966790199700201,0.6941641001052252,cfb81720be525f34097a0bee2491d1f8b72aaf5a9ff7c8d83e14e1d96386efde,341ba95315248a5c8ec2ca2dc274538f09faaba13c6b1244a1baa2eb82c795dd
schedule1_TF_h5_seed9,1,9,5,80,TF,0.17050913275907745,0.10533699196196504,15.36504708995179,finite,0.4198127226616578,0.7322025409206901,23f2c3208420e08171fb49eed7a9012ba0e4d2b5dde9d425bd017436b4d17eb9,91b82f462183e7592c44a6c60d19e95b1d11c017c8a1378a8a4d06c329b0887f
