sample_id,schedule_index,seed,horizon_chunks,mode,generated_local_frame,source_frame_index,rmse,mae,psnr,psnr_status
schedule0_G0_h1_seed0,0,0,1,G0,1,1,0.02414741349056616,0.013607033180235817,32.3425876228315,finite
schedule0_G0_h1_seed0,0,0,1,G0,2,2,0.04617423580355601,0.01935744007604967,26.71200567045398,finite
schedule0_G0_h1_seed0,0,0,1,G0,3,3,0.07588743114880821,0.030672078908054345,22.39660296291522,finite
schedule0_G0_h1_seed0,0,0,1,G0,4,4,0.1059726050396203,0.044423195913834,19.49612779240274,finite
schedule0_G0_h1_seed0,0,0,1,G0,5,5,0.11569783015649537,0.050529192813714964,18.733495718095035,finite
schedule0_G0_h1_seed0,0,0,1,G0,6,6,0.12732321721839793,0.05720567807411925,17.901847922141553,finite
schedule0_G0_h1_seed0,0,0,1,G0,7,7,0.1418911903418469,0.06351912178104868,16.960891358601565,finite
schedule0_G0_h1_seed0,0,0,1,G0,8,8,0.12216180637148738,0.05579063389416916,18.261291082331795,finite
schedule0_G0_h1_seed0,0,0,1,G0,9,9,0.11655984443988524,0.05445469678155964,18.669020816893195,finite
schedule0_G0_h1_seed0,0,0,1,G0,10,10,0.12855202654941714,0.06081539143578141,17.818421451244372,finite
schedule0_G0_h1_seed0,0,0,1,G0,11,11,0.1273201663208141,0.06083457753299607,17.9020560544664,finite
schedule0_G0_h1_seed0,0,0,1,G0,12,12,0.1357366237962067,0.0647940145393117,17.34605914604891,finite
schedule0_G0_h1_seed0,0,0,1,G0,13,13,0.15656771849517545,0.07525115725695504,16.105955538360863,finite
schedule0_G0_h1_seed0,0,0,1,G0,14,14,0.157216305621547,0.07732433022835512,16.070048265903612,finite
schedule0_G0_h1_seed0,0,0,1,G0,15,15,0.17248210984032014,0.08622725363361401,15.265118881443572,finite
schedule0_G0_h1_seed0,0,0,1,G0,16,16,0.15051072345487335,0.07812739241948681,16.448651134775425,finite
schedule0_TF_h2_seed1,0,1,2,TF,1,17,0.12949984329209116,0.059180076866018304,17.754615142453236,finite
